topic_id	topic_name	topic_html_name	topic_color
1	Bureautique	Bureautique	#5c7497
2	Business	Business	#0026ca
3	Cybersécurité	Cybersécurité	#455a64
4	Data	Data	#004d40
5	Design	Design	#d81b60
6	Développement	Développement	#00838f
7	Gestion de projet	Gestion de projet	#512da8
8	Insertion professionnelle	Insertion professionnelle	#ab47bc
9	Marketing & Communication	Marketing &amp; Communication	#304ffe
10	Pédagogie	Pédagogie	#f44336
11	RH & Gestion	RH &amp; Gestion	#140078
12	Soft skills	Soft skills	#795548
13	Supply Chain	Supply Chain	#b94e00
14	Systèmes & Réseaux	Systèmes &amp; Réseaux	#0277bd
15	Autres	Autres	#7451eb
